A=13 | B=0 | Sel=4 | Result=0
A=13 | B=1 | Sel=4 | Result=1
A=13 | B=2 | Sel=4 | Result=0
A=13 | B=3 | Sel=4 | Result=1
A=13 | B=4 | Sel=4 | Result=4
A=13 | B=5 | Sel=4 | Result=5
A=13 | B=6 | Sel=4 | Result=4
A=13 | B=7 | Sel=4 | Result=5
A=13 | B=8 | Sel=4 | Result=8
A=13 | B=9 | Sel=4 | Result=9
A=13 | B=10 | Sel=4 | Result=8
A=13 | B=11 | Sel=4 | Result=9
A=13 | B=12 | Sel=4 | Result=12
A=13 | B=13 | Sel=4 | Result=13
A=13 | B=14 | Sel=4 | Result=12
A=13 | B=15 | Sel=4 | Result=13
A=14 | B=0 | Sel=4 | Result=0
A=14 | B=1 | Sel=4 | Result=0
A=14 | B=2 | Sel=4 | Result=2
A=14 | B=3 | Sel=4 | Result=2
A=14 | B=4 | Sel=4 | Result=4
A=14 | B=5 | Sel=4 | Result=4
A=14 | B=6 | Sel=4 | Result=6
A=14 | B=7 | Sel=4 | Result=6
A=14 | B=8 | Sel=4 | Result=8
A=14 | B=9 | Sel=4 | Result=8
A=14 | B=10 | Sel=4 | Result=10
A=14 | B=11 | Sel=4 | Result=10
A=14 | B=12 | Sel=4 | Result=12
A=14 | B=13 | Sel=4 | Result=12
A=14 | B=14 | Sel=4 | Result=14
A=14 | B=15 | Sel=4 | Result=14
A=15 | B=0 | Sel=4 | Result=0
A=15 | B=1 | Sel=4 | Result=1
A=15 | B=2 | Sel=4 | Result=2
A=15 | B=3 | Sel=4 | Result=3
A=15 | B=4 | Sel=4 | Result=4
A=15 | B=5 | Sel=4 | Result=5
A=15 | B=6 | Sel=4 | Result=6
A=15 | B=7 | Sel=4 | Result=7
A=15 | B=8 | Sel=4 | Result=8
A=15 | B=9 | Sel=4 | Result=9
A=15 | B=10 | Sel=4 | Result=10
A=15 | B=11 | Sel=4 | Result=11
A=15 | B=12 | Sel=4 | Result=12
A=15 | B=13 | Sel=4 | Result=13
A=15 | B=14 | Sel=4 | Result=14
A=15 | B=15 | Sel=4 | Result=15
A=10 | B=0 | Sel=5 | Result=10
A=10 | B=1 | Sel=5 | Result=11
A=10 | B=2 | Sel=5 | Result=10
A=10 | B=3 | Sel=5 | Result=11
A=10 | B=4 | Sel=5 | Result=14
A=10 | B=5 | Sel=5 | Result=15
A=10 | B=6 | Sel=5 | Result=14
A=10 | B=7 | Sel=5 | Result=15
A=10 | B=8 | Sel=5 | Result=10
A=10 | B=9 | Sel=5 | Result=11
A=10 | B=10 | Sel=5 | Result=10
A=10 | B=11 | Sel=5 | Result=11
A=10 | B=12 | Sel=5 | Result=14
A=10 | B=13 | Sel=5 | Result=15
A=10 | B=14 | Sel=5 | Result=14
A=10 | B=15 | Sel=5 | Result=15
A=11 | B=0 | Sel=5 | Result=11
A=11 | B=1 | Sel=5 | Result=11
A=11 | B=2 | Sel=5 | Result=11
A=11 | B=3 | Sel=5 | Result=11
A=11 | B=4 | Sel=5 | Result=15
